UAvg,IA,IB,IC,UTHDAvg,ITHDAvg,PF,F,PSum,SSum,Iavg,Deviation_A,Deviation_B,Deviation_C,Max_Deviation,Current_Imbalance_%,Status
172.62,82.44,72.75,77.78,2.1,41.848,0.878,60.14,20134.86,22929.04,77.65666666666667,4.783333333333331,4.906666666666666,0.12333333333333485,4.906666666666666,6.318410095720478,Normal
172.38,96.24,85.93,91.51,2.359,38.9,0.884,60.07,23790.8,26924.08,91.22666666666667,5.013333333333321,5.296666666666667,0.28333333333333144,5.296666666666667,5.806050862320959,Normal
171.96,95.03,85.6,90.35,2.198,38.793,0.879,60.14,23409.96,26624.23,90.32666666666667,4.703333333333333,4.726666666666674,0.023333333333326323,4.726666666666674,5.232858513543443,Normal
173.83,88.61,78.93,84.58,2.269,40.555,0.878,60.03,21944.1,24999.19,84.04,4.569999999999993,5.109999999999999,0.539999999999992,5.109999999999999,6.080437886720609,Normal
173.42,85.81,76.07,81.78,2.126,41.01,0.879,60.02,21171.37,24087.75,81.22,4.590000000000003,5.150000000000006,0.5600000000000023,5.150000000000006,6.340802757941401,Normal
173.92,85.24,75.56,81.34,2.313,39.952,0.884,59.98,21217.11,24005.91,80.71333333333334,4.526666666666657,5.153333333333336,0.6266666666666652,5.153333333333336,6.384736103080865,Normal
173.18,79.37,70.54,76.14,2.326,41.05,0.881,60.04,19658.85,22315.11,75.35000000000001,4.019999999999996,4.810000000000002,0.789999999999992,4.810000000000002,6.383543463835436,Normal
172.89,84.13,74.92,80.16,2.212,39.913,0.883,60.01,20836.14,23593.61,79.73666666666666,4.393333333333331,4.816666666666663,0.423333333333332,4.816666666666663,6.0407173613143215,Normal
172.8,81.61,71.59,77.45,2.357,39.507,0.887,59.84,20131.8,22695.9,76.88333333333333,4.726666666666674,5.293333333333322,0.5666666666666771,5.293333333333322,6.884890526772152,Normal
172.63,96.54,86.36,92.72,2.507,38.044,0.887,59.91,24076.67,27144.91,91.87333333333333,4.666666666666671,5.513333333333335,0.846666666666664,5.513333333333335,6.001015891444745,Normal
172.12,91.3,81.28,87.59,2.29,37.611,0.89,59.89,22728.09,25535.34,86.72333333333331,4.576666666666682,5.443333333333314,0.8666666666666885,5.443333333333314,6.276665257331723,Normal
171.55,96.61,86.07,92.72,2.246,37.362,0.891,60.1,24007.05,26941.21,91.8,4.810000000000002,5.730000000000004,0.9200000000000017,5.730000000000004,6.241830065359482,Normal
171.43,92.3,82.62,89.39,2.33,38.072,0.89,60.07,22985.28,25836.38,88.10333333333334,4.196666666666658,5.483333333333334,1.2866666666666617,5.483333333333334,6.223752411940525,Normal
171.34,85.63,75.97,82.5,2.414,39.706,0.885,60.02,21097.2,23828.89,81.36666666666666,4.263333333333335,5.396666666666661,1.13333333333334,5.396666666666661,6.632527652601386,Normal
171.43,86.42,76.69,82.9,2.285,39.28,0.887,59.91,21307.05,24034.5,82.00333333333334,4.416666666666657,5.313333333333347,0.8966666666666612,5.313333333333347,6.479411406040421,Normal
171.56,88.16,78.96,84.92,2.465,37.759,0.889,59.96,21925.48,24668.45,84.01333333333334,4.146666666666661,5.053333333333342,0.9066666666666663,5.053333333333342,6.0149182669417645,Normal
171.93,82.26,72.97,79.64,2.329,39.391,0.888,60.08,20432.96,22998.43,78.29,3.969999999999999,5.320000000000007,1.3499999999999943,5.320000000000007,6.7952484353046465,Normal
172.1,97.21,86.5,94.12,2.414,38.027,0.892,60.13,24289.75,27244.77,92.61,4.599999999999994,6.109999999999999,1.5100000000000051,6.109999999999999,6.5975596587841485,Normal
172.08,98.64,88.28,95.8,2.519,36.756,0.894,60.06,24795.51,27735.56,94.24000000000001,4.3999999999999915,5.960000000000008,1.559999999999988,5.960000000000008,6.324278438030569,Normal
172.45,97.46,86.54,94.34,2.485,37.899,0.893,60.06,24416.45,27342.02,92.78000000000002,4.679999999999978,6.240000000000009,1.559999999999988,6.240000000000009,6.725587411079983,Normal
172.91,93.97,83.34,91.09,2.484,36.351,0.898,60.1,23734.29,26431.34,89.46666666666665,4.5033333333333445,6.126666666666651,1.623333333333349,6.126666666666651,6.847988077496257,Normal
174.69,86.58,75.52,83.49,2.389,37.907,0.898,60.29,21900.12,24388.47,81.86333333333333,4.716666666666669,6.343333333333334,1.6266666666666652,6.343333333333334,7.748686835783217,Normal
171.95,82.86,72.19,80.74,2.411,38.695,0.899,59.96,20696.34,23029.74,78.59666666666668,4.263333333333321,6.4066666666666805,2.1433333333333167,6.4066666666666805,8.151321090801153,Normal
172.44,91.94,79.78,88.61,2.382,38.004,0.9,60.12,22958.26,25502.53,86.77666666666666,5.163333333333341,6.9966666666666555,1.8333333333333428,6.9966666666666555,8.062843314254971,Normal
172.08,93.04,81.26,89.82,2.447,36.377,0.903,60.08,23338.93,25843.02,88.04,5.0,6.780000000000001,1.779999999999987,6.780000000000001,7.701044979554748,Normal
171.9,86.6,75.56,84.14,2.41,37.679,0.901,60.06,21681.23,24056.93,82.10000000000001,4.499999999999986,6.540000000000006,2.039999999999992,6.540000000000006,7.9658952496955,Normal
